metric,variant,game_length,seeds,decision_maker,style,focus,strategy,n,mean,sd,se,cv,sd_ucl,n_pairs,rho,mean_diff,p_holm,delta,n_unpaired,n_paired,n_paired_ucl
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,2.1479166666666667,1.00913045735203,0.029131087059982234,0.46981825366534863,1.0270146374080547,1200,0.16443982523461437,-0.38416666666666666,1.5796626634063536e-21,0.25320833333333337,275,230,238
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,0.2568802686391702,0.15179673775329472,0.004381994370198586,0.5909240852068625,0.15448693521004442,1200,0.19822729752355278,0.03391633726769262,8.507801127089657e-09,0.02229639313714777,716,574,595
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,0.09657897693336968,0.0916759651076931,0.0026464571566572675,0.9492331356019728,0.09330068018278657,1200,0.189743982877494,-0.07375668792244468,1.3437215491750682e-67,0.03406713297116288,177,145,151
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,23.97133333333333,59.6926884895027,1.723179488403343,2.490169723120785,60.75058420674795,1200,0.23711402305712204,25.44233333333331,1.1577712326645197e-30,10,582,444,460
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Points,1200,2.1045833333333333,1.0383090730436961,0.029973401141190435,0.4933561226103486,1.0567103672280413,1200,0.18116003364699693,-0.4275,4.761894490206448e-26,0.25320833333333337,283,232,240
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,0.25507273745847686,0.14663604288069004,0.004233017941503395,0.5748793239989469,0.1492347806102623,1200,0.21188571433272113,0.032108806086999654,2.117134768841348e-08,0.02229639313714777,692,545,565
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,0.09663324952624519,0.09265274318448402,0.002674654310935955,0.9588081083759883,0.09429476907888024,1200,0.1733528807454715,-0.0737024153295692,5.157558431139335e-66,0.03406713297116288,178,149,154
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,20.155333333333317,55.415275711733045,1.5997012174693201,2.7494100343201016,56.39736555102243,1200,0.24449961761992375,21.626333333333307,2.7833856701449788e-24,10,543,411,426
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Speed,Placement,1200,2.13625,1.022463755319694,0.029515986218523048,0.47862551448552093,1.0405842329721862,1200,0.18233267950686954,-0.3958333333333333,5.933770432347387e-23,0.25320833333333337,279,228,236
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Aggressive,Balanced,Points,1200,0.22824097668399232,0.1388895882386025,0.0040093970578596715,0.6085217048071961,0.14135104045805502,1200,0.22533950872915812,0.005277045312514422,0.9254109655353581,0.02229639313714777,657,509,527
